#item_name,item_id
iron_shovel,256
iron_pickaxe,257
iron_axe,258
flint_and_steel,259
apple,260
bow,261
arrow,262
coal,263
diamond,264
iron_ingot,265
gold_ingot,266
iron_sword,267
wooden_sword,268
wooden_shovel,269
wooden_pickaxe,270
wooden_axe,271
stone_sword,272
stone_shovel,273
stone_pickaxe,274
stone_axe,275
diamond_sword,276
diamond_shovel,277
diamond_pickaxe,278
diamond_axe,279
stick,280
bowl,281
mushroom_stew,282
golden_sword,283
golden_shovel,284
golden_pickaxe,285
golden_axe,286
string,287
feather,288
gunpowder,289
wooden_hoe,290
stone_hoe,291
iron_hoe,292
diamond_hoe,293
golden_hoe,294
wheat_seeds,295
wheat,296
bread,297
leather_helmet,298
leather_chestplate,299
leather_leggings,300
leather_boots,301
chainmail_helmet,302
chainmail_chestplate,303
chainmail_leggings,304
chainmail_boots,305
iron_helmet,306
iron_chestplate,307
iron_leggings,308
iron_boots,309
diamond_helmet,310
diamond_chestplate,311
diamond_leggings,312
diamond_boots,313
golden_helmet,314
golden_chestplate,315
golden_leggings,316
golden_boots,317
flint,318
porkchop,319
cooked_porkchop,320
painting,321
golden_apple,322
sign,323
wooden_door,324
bucket,325
water_bucket,326
lava_bucket,327
minecart,328
saddle,329
iron_door,330
redstone,331
snowball,332
boat,333
leather,334
milk_bucket,335
brick,336
clay_ball,337
reeds,338
paper,339
book,340
slime_ball,341
chest_minecart,342
furnace_minecart,343
egg,344
compass,345
fishing_rod,346
clock,347
glowstone_dust,348
fish,349
cooked_fished,350
dye,351
bone,352
sugar,353
cake,354
bed,355
repeater,356
cookie,357
filled_map,358
shears,359
melon,360
pumpkin_seeds,361
melon_seeds,362
beef,363
cooked_beef,364
chicken,365
cooked_chicken,366
rotten_flesh,367
ender_pearl,368
blaze_rod,369
ghast_tear,370
gold_nugget,371
nether_wart,372
potion,373
glass_bottle,374
spider_eye,375
fermented_spider_eye,376
blaze_powder,377
magma_cream,378
brewing_stand,379
cauldron,380
ender_eye,381
speckled_melon,382
spawn_egg,383
experience_bottle,384
fire_charge,385
writable_book,386
written_book,387
emerald,388
item_frame,389
flower_pot,390
carrot,391
potato,392
baked_potato,393
poisonous_potato,394
map,395
golden_carrot,396
skull,397
carrot_on_a_stick,398
nether_star,399
pumpkin_pie,400
fireworks,401
firework_charge,402
enchanted_book,403
comparator,404
netherbrick,405
quartz,406
tnt_minecart,407
hopper_minecart,408
iron_horse_armor,417
golden_horse_armor,418
diamond_horse_armor,419
lead,420
name_tag,421
command_block_minecart,422
record_13,2256
record_cat,2257
record_blocks,2258
record_chirp,2259
record_far,2260
record_mall,2261
record_mellohi,2262
record_stal,2263
record_strad,2264
record_ward,2265
record_11,2266
record_wait,2267
